,Species,Month,Year,Site,Location,Age,Number,Length,Diameter,Taper,TI,Mass,d13C,d15N,CN,Ropey,Segmented,Flat,Scrape
0,Coyote,January,2012,YOLA,Edge,5,2,9.5,25.7,41.9,1.63,15.89,-26.85,6.94,8.5,False,False,False,False
1,Coyote,January,2012,YOLA,Edge,3,2,14.0,25.4,37.1,1.46,17.61,-29.62,9.87,11.3,False,False,False,False
2,Bobcat,January,2012,YOLA,Middle,3,2,9.0,18.8,16.5,0.88,8.4,-28.73,8.52,8.1,True,True,False,True
3,Coyote,January,2012,YOLA,Middle,5,2,8.5,18.1,24.7,1.36,7.4,-20.07,5.79,11.5,True,False,False,False
4,Coyote,January,2012,YOLA,Edge,5,4,8.0,20.7,20.1,0.97,25.45,-23.24,7.01,10.6,False,True,False,False
5,Coyote,January,2012,YOLA,Edge,5,3,9.0,21.2,28.5,1.34,14.14,-29.0,8.28,9.0,True,False,False,False
6,Bobcat,January,2012,ANNU,OffEdge,1,5,6.0,15.7,8.2,0.52,14.82,-28.06,4.2,5.4,True,True,False,True
7,Bobcat,January,2012,ANNU,OffEdge,3,7,5.5,21.9,19.3,0.88,26.41,-27.6,3.89,5.6,False,True,False,False
8,Bobcat,January,2012,ANNU,OffEdge,5,2,11.0,17.5,29.1,1.66,16.24,-28.64,7.34,5.8,False,True,False,False
10,GrayFox,January,2012,ANNU,Middle,3,1,8.0,,,,2.51,-25.79,7.83,20.5,False,False,True,False
11,GrayFox,January,2012,ANNU,Middle,1,1,8.0,12.9,14.7,1.14,8.55,-25.71,8.47,18.1,True,False,False,False
13,GrayFox,January,2012,ANNU,Middle,3,1,11.5,,,,8.17,-25.73,9.72,18.9,False,False,True,False
14,GrayFox,January,2012,ANNU,Middle,1,1,8.5,,,,3.43,-26.17,8.07,19.9,False,False,True,False
15,GrayFox,January,2012,ANNU,Middle,5,1,10.5,12.1,11.9,0.98,3.1,-26.88,6.7,7.0,True,True,False,False
16,Bobcat,February,2013,ANNU,Edge,5,7,5.0,13.0,37.6,2.89,9.75,-27.92,7.57,5.8,True,True,False,False
18,Bobcat,February,2013,ANNU,Edge,5,4,10.5,15.5,38.2,2.46,12.76,-25.77,3.88,5.7,True,False,False,False
19,Bobcat,February,2013,ANNU,OffEdge,3,3,11.0,16.5,25.8,1.56,18.75,-28.91,6.36,6.0,True,True,False,False
20,Bobcat,February,2013,ANNU,OffEdge,5,4,11.5,17.5,18.9,1.08,14.08,-27.3,6.61,6.9,True,True,False,False
21,Bobcat,February,2013,ANNU,OffEdge,5,5,7.5,18.0,32.1,1.78,21.69,-27.2,9.07,5.8,True,True,False,False
22,Bobcat,April,2012,YOLA,Middle,4,4,5.5,21.7,18.9,0.87,19.15,-29.12,8.72,6.05,False,True,False,False
23,Bobcat,April,2012,YOLA,Middle,3,1,9.0,21.6,11.4,0.53,9.74,-29.85,10.32,7.48,False,True,False,False
24,Coyote,April,2012,YOLA,Middle,5,2,17.0,22.1,5.0,0.23,24.69,-27.82,7.95,7.3,False,True,False,False
25,Coyote,April,2012,YOLA,Middle,3,2,6.0,12.5,21.4,1.71,5.05,-29.52,8.91,7.5,True,False,False,False
26,Bobcat,April,2012,YOLA,OffEdge,5,2,16.5,18.7,23.0,1.23,10.21,-28.53,5.59,7.84,True,True,False,False
27,Bobcat,April,2012,ANNU,OffEdge,4,1,16.5,16.5,28.9,1.83,7.11,-27.66,8.06,6.2,True,True,False,False
28,GrayFox,April,2012,ANNU,Middle,1,1,10.0,,,,5.53,-26.58,8.17,18.9,False,False,True,False
29,GrayFox,April,2012,ANNU,OffEdge,4,3,13.5,19.1,12.8,0.67,9.23,-28.17,5.88,7.7,False,True,False,False
30,GrayFox,April,2012,ANNU,Middle,4,2,9.5,18.4,28.8,1.57,4.37,-27.37,4.9,6.6,True,False,False,False
31,GrayFox,April,2012,ANNU,OffEdge,5,1,12.0,14.7,34.7,2.38,7.97,-26.99,5.87,9.2,True,False,False,False
32,Bobcat,April,2012,ANNU,OffEdge,3,2,7.0,15.7,20.9,1.33,8.98,-28.17,7.08,6.2,True,True,False,False
33,GrayFox,April,2012,ANNU,Edge,5,1,10.5,17.7,7.5,0.42,7.14,-25.94,7.56,7.7,False,True,False,False
34,Bobcat,April,2012,ANNU,Edge,3,6,4.0,20.8,12.4,0.6,25.73,-29.55,8.56,7.0,False,True,False,False
36,Bobcat,May,2013,ANNU,Middle,3,2,9.0,17.7,44.7,2.53,6.46,-28.48,6.29,5.6,True,True,False,False
37,Bobcat,May,2013,ANNU,Edge,3,3,12.0,22.0,38.9,1.77,23.73,-28.92,5.17,6.2,True,True,False,False
38,Bobcat,May,2013,ANNU,Edge,4,2,15.0,21.7,53.4,2.46,18.0,-27.25,6.94,5.5,True,True,False,False
39,Bobcat,May,2013,ANNU,Edge,4,1,11.0,16.5,16.0,0.97,11.25,-27.92,8.38,7.7,True,True,False,False
41,Bobcat,May,2013,ANNU,Edge,3,4,12.0,21.4,12.0,0.56,19.04,-28.72,6.94,6.8,False,True,False,False
42,Bobcat,May,2013,ANNU,OffEdge,5,3,10.5,22.0,37.2,1.69,18.9,-28.0,6.42,6.9,True,False,False,False
43,Bobcat,May,2013,ANNU,Edge,3,2,4.5,18.2,37.8,2.08,3.82,-25.76,3.5,7.3,True,False,False,False
44,Bobcat,May,2013,ANNU,Edge,3,2,7.5,16.1,32.0,1.99,6.7,-26.7,7.52,6.0,True,False,False,False
45,Bobcat,June,2012,ANNU,Edge,1,1,5.5,19.6,25.0,1.28,1.5,-27.4,8.89,4.9,False,False,False,False
46,GrayFox,June,2012,ANNU,Middle,2,3,6.5,15.1,37.4,2.48,4.31,-28.47,6.39,10.1,True,False,False,False
47,GrayFox,June,2012,ANNU,Edge,1,1,11.5,10.3,30.8,2.99,2.23,-28.04,6.51,7.2,True,False,False,False
48,Bobcat,June,2012,ANNU,Middle,2,5,9.5,21.3,18.3,0.86,16.33,-28.56,7.54,6.7,False,True,False,False
49,Bobcat,June,2012,ANNU,Edge,5,3,12.0,18.7,30.3,1.62,13.19,-27.72,7.25,5.0,True,True,False,False
50,Bobcat,June,2012,ANNU,Middle,3,3,10.0,24.1,,,26.89,-27.15,3.46,5.5,False,True,False,False
51,Coyote,June,2012,ANNU,Edge,3,2,12.0,23.1,39.1,1.69,22.59,-22.19,18.0,6.0,True,True,False,False
52,Coyote,June,2012,ANNU,Edge,5,2,6.0,14.1,20.1,1.43,23.22,-19.67,15.48,7.8,True,True,False,False
53,Coyote,June,2012,ANNU,Middle,3,3,14.5,23.7,31.4,1.32,28.11,-22.43,15.37,6.7,True,False,False,False
56,Bobcat,June,2012,YOLA,OffEdge,4,4,8.5,20.9,37.3,1.78,21.64,-28.06,5.36,7.6,False,True,False,False
58,Bobcat,August,2013,ANNU,Edge,3,1,11.5,16.4,37.8,3.18,3.94,-26.82,6.52,5.5,True,False,False,False
59,GrayFox,August,2013,ANNU,Edge,3,2,9.5,17.8,18.8,1.06,5.38,,,,False,False,False,False
60,GrayFox,August,2013,ANNU,Edge,5,2,9.0,18.5,20.0,1.16,6.4,-28.67,3.9,12.3,True,False,False,False
61,GrayFox,August,2013,ANNU,Middle,5,3,7.5,16.0,20.0,1.25,6.23,-28.56,5.32,10.6,True,False,False,False
62,Bobcat,August,2013,ANNU,Middle,3,1,14.0,23.4,41.2,2.38,4.47,-29.0,7.63,7.2,True,False,False,False
63,GrayFox,August,2013,ANNU,Middle,3,4,6.0,16.8,31.4,1.83,4.4,-27.57,5.87,5.7,True,True,False,False
64,Bobcat,August,2013,ANNU,Middle,3,4,6.5,17.4,17.8,1.02,10.98,-28.84,3.79,7.5,False,True,False,False
65,Bobcat,August,2013,ANNU,Edge,3,2,11.5,18.0,15.9,1.06,13.0,-27.84,5.36,6.0,False,True,False,True
66,Bobcat,August,2013,ANNU,Edge,1,3,9.5,19.3,32.8,1.7,14.94,,,,False,True,False,False
67,Bobcat,September,2011,ANNU,Edge,1,3,5.0,17.9,,,9.51,-27.5,5.87,7.0,False,True,False,False
69,Bobcat,September,2011,ANNU,Middle,5,1,10.0,25.8,,,8.73,-26.83,5.97,7.4,True,False,False,False
70,Bobcat,September,2011,ANNU,Middle,5,1,10.0,22.2,,,25.9,-26.81,6.91,7.7,False,False,False,False
71,Coyote,September,2011,ANNU,Edge,5,3,5.0,20.1,,,14.46,-22.54,13.19,7.7,True,True,False,False
72,Coyote,September,2011,ANNU,Middle,4,2,9.0,17.8,,,10.26,-19.76,17.1,7.2,True,False,False,False
73,Bobcat,September,2011,ANNU,Middle,5,2,6.0,15.2,20.6,1.35,3.92,-27.81,5.24,8.4,False,False,False,False
74,Bobcat,September,2011,ANNU,Middle,5,3,6.0,19.3,,,14.55,-27.79,2.62,7.7,True,True,False,False
75,Bobcat,September,2011,ANNU,Middle,5,1,6.0,24.8,,,5.66,-28.15,5.87,8.5,True,True,False,False
77,GrayFox,September,2011,ANNU,Middle,5,3,5.0,11.6,11.5,0.99,2.78,-27.27,3.9,19.1,False,False,False,False
78,GrayFox,September,2011,ANNU,Middle,3,5,5.0,9.8,9.6,0.98,3.4,-28.9,4.05,23.6,False,False,False,False
79,GrayFox,September,2011,ANNU,Middle,2,2,7.0,14.9,,,,-28.92,5.23,13.2,True,False,False,False
80,Bobcat,September,2011,YOLA,Middle,1,3,6.7,17.6,15.0,0.85,14.62,-27.95,7.28,5.8,False,True,False,True
81,Bobcat,October,2012,ANNU,Edge,1,3,6.0,18.1,2.4,1.62,11.62,-27.44,7.96,5.7,True,False,False,False
82,Bobcat,October,2012,ANNU,Edge,3,3,11.5,16.8,40.4,2.4,6.16,-27.65,5.79,8.6,True,False,False,False
84,GrayFox,October,2012,ANNU,Edge,4,3,6.0,15.8,2.5,2.02,4.81,-28.97,5.56,6.3,True,True,False,False
85,GrayFox,October,2012,ANNU,OffEdge,1,2,9.5,17.3,,,6.77,-27.33,6.73,9.2,False,False,False,False
87,Coyote,October,2012,ANNU,Middle,3,3,16.0,24.8,36.7,1.48,21.25,-26.75,6.19,6.4,True,False,False,False
88,Coyote,October,2012,ANNU,OffEdge,3,4,14.0,15.2,39.7,2.61,12.91,-20.62,3.97,4.9,True,True,False,False
89,Bobcat,October,2012,ANNU,OffEdge,4,4,7.5,20.0,17.3,0.87,9.68,-28.29,5.98,6.7,False,True,False,False
90,Bobcat,October,2012,ANNU,Edge,3,3,11.0,24.7,28.8,1.17,5.93,-28.02,6.86,7.8,True,False,False,False
91,Bobcat,October,2012,ANNU,Middle,3,2,14.0,24.5,29.8,1.22,23.55,-27.52,5.84,7.0,True,True,False,False
92,Bobcat,October,2012,ANNU,OffEdge,3,6,7.0,16.1,2.3,1.27,11.48,-26.79,6.21,7.0,False,True,False,False
93,Coyote,November,2011,ANNU,Edge,4,3,3.1,22.9,19.9,0.87,24.01,-22.58,8.23,6.7,False,True,False,False
94,Coyote,November,2011,ANNU,OffEdge,3,1,4.5,,,,20.29,-22.69,13.32,10.4,False,False,True,False
95,Coyote,November,2011,ANNU,Middle,2,2,9.5,14.8,22.4,1.52,1.81,-26.45,8.92,7.7,True,False,False,False
96,Coyote,November,2011,ANNU,Middle,1,1,5.5,11.0,15.8,1.44,9.24,-22.46,14.59,9.6,False,False,False,False
97,Bobcat,November,2011,ANNU,OffEdge,4,2,11.5,20.0,25.9,1.3,9.66,-26.72,6.06,6.6,True,True,False,False
98,Coyote,November,2011,ANNU,OffEdge,1,3,7.0,21.0,24.6,1.17,32.75,-22.36,15.06,7.0,False,True,False,False
101,Coyote,November,2011,ANNU,Edge,3,4,10.5,20.4,15.0,0.74,9.03,-28.03,11.08,9.7,False,True,False,False
102,Bobcat,November,2011,ANNU,Edge,5,2,7.0,21.0,48.7,2.32,8.36,-27.45,4.87,6.6,False,True,False,False
103,GrayFox,November,2011,ANNU,Middle,1,2,6.0,15.8,15.7,0.99,4.13,-26.74,4.51,8.1,True,True,False,False
105,GrayFox,November,2011,ANNU,OffEdge,4,1,14.0,17.0,38.9,2.29,4.24,-27.79,5.63,6.7,True,False,False,False
106,Bobcat,November,2011,ANNU,Middle,5,2,7.5,21.8,26.2,1.2,11.39,-27.92,6.85,6.0,True,False,False,False
108,Coyote,November,2011,YOLA,Middle,4,1,12.0,20.6,36.9,1.79,36.84,-26.84,8.84,6.8,False,False,False,False
109,Coyote,November,2011,ANNU,Middle,3,3,11.5,22.9,49.6,2.17,4.92,-25.68,7.23,10.1,True,False,False,False
